budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,return,id_collection,name_collection,genres_cleaned,producer_cleaned,Country_cleaned,Language_cleaned
7000000,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",164372,ru,"The ice-cold Snow Queen wishes to turn the world into a frozen landscape, with no light, no joy, no happiness, and no free will. A young man, Kai, is rumored to be the son of a man who is the queen's only remaining threat. He is abducted and held captive in the queen's palace, and it's up to his sister, Gerda, to rescue him. Gerda journeys across an icy land, facing difficult obstacles and meeting wonderful new friends that help her in her quest to set Kai free, defeat the Snow Queen, and save the world from eternal frost.",6.407641,"[{'name': 'Bazelevs Production', 'id': 1038}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2012-10-11,12400000.0,76.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,"Cold can freeze your heart, love can set you free",The Snow Queen,5.1,47.0,2012,1.7714285714285714,374930.0,Snow Queen Collection,"Animation, Fantasy",Bazelevs Production,Russia,Pусский
1100000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",94329,id,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it.  But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.",10.528833,"[{'name': 'Celluloid Dreams', 'id': 860}, {'name': 'Pt. Merantau Films', 'id': 12141}, {'name': 'XYZ Films', 'id': 12142}]","[{'iso_3166_1': 'ID', 'name': 'Indonesia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2011-09-08,4105187.0,101.0,"[{'iso_639_1': 'id', 'name': 'Bahasa indonesia'}]",Released,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell",The Raid,7.3,1076.0,2011,3.7319881818181817,257960.0,The Raid Collection,"Action, Thriller, Crime",Celluloid Dreams,Indonesia,Bahasa indonesia
12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",67660,en,"The balance of power in four couples’ relationships is upset when the women start using the advice in Steve Harvey’s book, Act Like A Lady, Think Like A Man, to get more of what they want from their men. When the men realize that the women have gotten a hold of their relationship “playbook,” they decide that the best defense is a good offense and come up with a plan to use this information to their advantage.",5.264551,"[{'name': 'Rainforest Films', 'id': 1309}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-04-16,96070507.0,122.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Let the mind games begin.,Think Like a Man,6.9,287.0,2012,8.005875583333333,239430.0,Think Like a Man Collection,"Comedy, Romance",Rainforest Films,United States of America,English
5600000,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",10664,es,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.",8.853168,"[{'name': 'Filmax', 'id': 3631}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2009-09-15,18469680.0,85.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,Fear Revisited,[REC]²,6.5,496.0,2009,3.298157142857143,74508.0,[REC] Collection,"Thriller, Horror",Filmax,Spain,Español
18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",85,en,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",19.901576,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1981-06-12,389925971.0,115.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'ne', 'name': ''}]",Released,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,7.7,3949.0,1981,21.662553944444443,84.0,Indiana Jones Collection,"Adventure, Action",Lucasfilm,United States of America,English
134000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",25508,en,Sketch artist Irena Dubrovna (Simone Simon) and American architect Oliver Reed (Kent Smith) fall in love and marry after a brief courtship. But Irena believes that she suffers from an ancient curse and won't consummate the union for fear that she will turn into a panther compelled to kill her lover.,5.110716,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1942-12-05,4000000.0,73.0,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'sr', 'name': 'Srpski'}]",Released,The exciting story of a woman who kills the thing she loves!,Cat People,6.9,96.0,1942,29.850746268656717,272673.0,Cat People Collection,"Thriller, Drama, Horror",RKO Radio Pictures,United States of America,Český
9300000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",11827,en,"A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror.",7.640073,"[{'name': 'Canadian Film Development Corporation (CFDC)', 'id': 4952}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1981-08-07,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,A Step Beyond Science Fiction,Heavy Metal,6.3,150.0,1981,0.0,141086.0,Heavy Metal Collection,"Animation, Science Fiction",Canadian Film Development Corporation (CFDC),Canada,English
2700000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",17264,en,"While traveling with his father, young Alec becomes fascinated by a mysterious Arabian stallion that is brought on board and stabled in the ship he is sailing on. When it tragically sinks both he and the horse survive only to be stranded on a deserted island. He befriends it, so when finally rescued both return to his home where they soon meet Henry Dailey, a once successful trainer. Together they begin training the horse to race against the fastest ones in the world.",10.246132,"[{'name': 'United Artists', 'id': 60}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1979-10-17,37799643.0,118.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,"From the moment he first saw the stallion, he knew it would either destroy him, or carry him where no one had ever been before…",The Black Stallion,7.0,59.0,1979,13.999867777777778,405393.0,The Black Stallion Collection,"Adventure, Family",United Artists,United States of America,العربية
40000000,"[{'id': 35, 'name': 'Comedy'}]",11007,en,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.",7.364297,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Robert Simonds Productions', 'id': 3929}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-12-24,190212113.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Growing pains? They've got twelve of them!,Cheaper by the Dozen,6.0,725.0,2003,4.755302825,114783.0,Cheaper by the Dozen Collection,Comedy,Twentieth Century Fox Film Corporation,United States of America,English
48000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",565,en,"It sounded like just another urban legend: A videotape filled with nightmarish images, leading to a phone call foretelling the viewer's death in exactly seven days. As a newspaper reporter, Rachel Keller was naturally skeptical of the story, until four teenagers all met with mysterious deaths exactly one week after watching just such a tape. Allowing her investigative curiosity to get the better of her, Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring.",13.740965,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'BenderSpink', 'id': 6363}, {'name': 'Parkes+MacDonald Image Nation', 'id': 49325}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-10-18,249348933.0,115.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Before you die, you see",The Ring,6.5,1720.0,2002,5.1947694375,14563.0,The Ring Collection,"Horror, Mystery",DreamWorks SKG,Japan,English
5000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8346,en,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,6.719949,"[{'name': 'Home Box Office (HBO)', 'id': 3268}, {'name': 'Playtone', 'id': 4171}, {'name': 'Gold Circle Films', 'id': 12026}, {'name': 'Ontario Film Development Corporation', 'id': 22210}, {'name': 'MPH Entertainment Productions', 'id': 95018}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-02-22,368744044.0,95.0,"[{'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Love is here to stay... so is her family.,My Big Fat Greek Wedding,6.2,686.0,2002,73.7488088,389767.0,My Big Fat Greek Wedding Collection,"Comedy, Drama, Romance",Home Box Office (HBO),Canada,ελληνικά
50000000,"[{'id': 35, 'name': 'Comedy'}]",109443,en,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",7.600751,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Gary Sanchez Productions', 'id': 4740}, {'name': 'Apatow Productions', 'id': 10105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-12-18,173649015.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's kind of a big deal,Anchorman 2: The Legend Continues,6.0,940.0,2013,3.4729803,93791.0,Anchorman Collection,Comedy,Paramount Pictures,United States of America,English
60000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}]",11808,en,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",8.462364,"[{'name': 'Kopelson Entertainment', 'id': 824}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1998-03-06,102367405.0,131.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The cop who won't stop is back. But this time he's chasing down a lot more than a fugitive.,U.S. Marshals,6.2,383.0,1998,1.7061234166666666,134011.0,The Fugitive / U.S. Marshals Collection,"Thriller, Crime, Action",Kopelson Entertainment,United States of America,English
30,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",16340,it,"The Rugrats are back! There's Tommy the brave one, Chuckie the timid one, Phil and Lil the odd couple, Dil, and spoiled brat Angelica. This time they're wreaking havoc in Paris, France, where Tommy's dad Stu is summoned after yet another one of his inventions took a dump.",5.568359,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Nickelodeon Movies', 'id': 2348}, {'name': 'Paramount Animation', 'id': 24955}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-14,103.0,78.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Ooo la la! Paris will never be the same!,Rugrats in Paris: The Movie,6.0,101.0,2000,3.433333333333333,57129.0,Rugrats Collection,"Adventure, Animation, Comedy, Family",Paramount Pictures,Germany,English
170000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",100402,en,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",18.717704,"[{'name': 'Marvel Studios', 'id': 420}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-03-20,714766572.0,136.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,In heroes we trust.,Captain America: The Winter Soldier,7.6,5881.0,2014,4.204509247058824,131295.0,Captain America Collection,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,English
300000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",948,en,"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.",13.672759,"[{'name': 'Compass International Pictures', 'id': 14323}, {'name': 'Falcon International Productions', 'id': 22814}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1978-10-25,70000000.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Night He Came Home,Halloween,7.4,1066.0,1978,233.33333333333334,91361.0,Halloween Collection,"Horror, Thriller",Compass International Pictures,United States of America,English
50000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",218836,en,"When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero.",7.579855,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'DisneyToon Studios', 'id': 5391}, {'name': 'Prana Studios', 'id': 18713}, {'name': 'Prana Animation Studios', 'id': 22135}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-07-17,151165787.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When others fly out, heroes fly in.",Planes: Fire & Rescue,5.8,286.0,2014,3.02331574,270252.0,Planes Collection,"Animation, Comedy, Adventure, Family",Walt Disney Pictures,United States of America,English
76000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5721,en,"Vixen lives in a Canadian mountain resort with her naive pilot husband. While he's away flying in tourists, she gets it on with practically everybody including a husband and his wife, and even her biker brother. She is openly racist, and she makes it clear that she won't do the wild thing with her brother's biker friend, who is black.",1.310245,"[{'name': 'Eve Productions', 'id': 24108}, {'name': 'Goldstein Films', 'id': 54599}, {'name': 'Coldstream Films', 'id': 54600}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1968-10-15,6000000.0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Is she woman ... or animal?,Vixen!,5.5,16.0,1968,78.94736842105263,294834.0,Vixens Collection,"Comedy, Drama, Romance",Eve Productions,United States of America,English
8000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",10007,en,"A group of delinquents are sent to clean the Blackwell Hotel. Little do they know reclusive psychopath Jacob Goodnight (Jacobs) has holed away in the rotting hotel. When one of the teens is captured, those who remain -- a group that includes the cop who put a bullet in Goodnight's head four years ago -- band together to survive against the brutal killer.",5.659608,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'WWE Studios', 'id': 10339}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-05-19,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,This summer. Evil gets raw.,See No Evil,4.8,146.0,2006,0.0,296872.0,See No Evil Collection,"Horror, Thriller",Lions Gate Films,United States of America,English
10000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",10726,en,"Rachel is a criminology student hoping to land a position as a teacher's assistant for professor Robert Starkman. She's sure this position will pave the way to an FBI career, and she's willing to do anything to obtain it -- including killing her classmates. The school psychiatrist, Dr. Daniels, becomes aware that Rachel is insane, but Rachel is skilled at her dangerous game of death and identity theft.",4.968814,"[{'name': 'Lions Gate Films', 'id': 35}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-04-22,0.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Angrier. Deadlier. Sexier.,American Psycho 2: All American Girl,4.6,81.0,2002,0.0,86105.0,American Psycho Collection,"Horror, Thriller",Lions Gate Films,United States of America,English
19000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",105,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'U-Drive Productions', 'id': 20448}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1985-07-03,381109762.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's the only kid ever to get into trouble before he was born.,Back to the Future,8.0,6239.0,1985,20.05840852631579,264.0,Back to the Future Collection,"Adventure, Comedy, Science Fiction, Family",Universal Pictures,United States of America,English
35000000,"[{'id': 35, 'name': 'Comedy'}]",18785,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",23.947351,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Green Hat Films', 'id': 3527}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'IFP Westcoast Erste', 'id': 12235}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-06-05,459270619.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some guys just can't handle Vegas.,The Hangover,7.2,6324.0,2009,13.122017685714285,86119.0,The Hangover Collection,Comedy,Legendary Pictures,Germany,English
57000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",71676,en,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",9.421301,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Imagenation Abu Dhabi FZ', 'id': 6736}, {'name': 'Marvel Entertainment', 'id': 7505}, {'name': 'Marvel Knights', 'id': 11106}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'Crystal Sky Pictures', 'id': 20241}, {'name': 'Michael De Luca Productions', 'id': 27551}]","[{'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-12-10,149217355.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He Rides Again.,Ghost Rider: Spirit of Vengeance,4.7,1163.0,2011,2.6178483333333333,90306.0,Ghost Rider Collection,"Action, Fantasy, Thriller",Columbia Pictures,United Arab Emirates,English
28000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",562,en,"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",16.640522,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Gordon Company', 'id': 1073}, {'name': 'Silver Pictures', 'id': 1885}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-07-15,140767956.0,131.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,40 Stories. Twelve Terrorists. One Cop.,Die Hard,7.5,4005.0,1988,5.027427,1570.0,Die Hard Collection,"Action, Thriller",Twentieth Century Fox Film Corporation,United States of America,English
650000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",25239,en,"An aspiring writer is repeatedly gang-raped, humiliated, and left for dead by four men whom she systematically hunts down to seek revenge.",12.412877,"[{'name': 'Cinemagic Pictures', 'id': 17794}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1978-11-02,0.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"This woman has just cut, chopped, broken and burned four men beyond recognition… but no jury in America would ever convict her!",I Spit on Your Grave,5.8,140.0,1978,0.0,296429.0,I Spit on Your Grave (Original) Collection,"Horror, Thriller",Cinemagic Pictures,United States of America,English
17000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",7516,en,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.",7.906434,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Scion Films', 'id': 7419}, {'name': 'Working Title Films', 'id': 10163}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-12-09,57103895.0,109.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nobody gets away clean.,Smokin' Aces,6.4,541.0,2006,3.3590526470588236,96680.0,Smokin' Aces Collection,"Action, Comedy, Crime, Thriller",Universal Pictures,France,English
94000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",12,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,"[{'name': 'Pixar Animation Studios', 'id': 3}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-05-30,940335536.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There are 3.7 trillion fish in the ocean. They're looking for one.,Finding Nemo,7.6,6292.0,2003,10.003569531914893,137697.0,Finding Nemo Collection,"Animation, Family",Pixar Animation Studios,United States of America,English
200000,"[{'id': 99, 'name': 'Documentary'}]",215407,ar,Documentary about the Moroccan musical group Nass El Ghiwane.,0.717206,"[{'name': 'Ohra-Sogeav', 'id': 37665}, {'name': 'Interfilms', 'id': 37666}]","[{'iso_3166_1': 'MA', 'name': 'Morocco'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1981-10-03,0.0,90.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}]",Released,"Here at last comes the time of ecstasy, of trances.",Trances,6.4,4.0,1981,0.0,303969.0,"Martin Scorsese’s World Cinema Project, Vol. 1",Documentary,Ohra-Sogeav,Morocco,العربية
32350000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1892,en,"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.",14.586087,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1983-05-23,572700000.0,135.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Empire Falls...,Return of the Jedi,7.9,4763.0,1983,17.7032457496136,10.0,Star Wars Collection,"Adventure, Action, Science Fiction",Lucasfilm,United States of America,English
1200000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}, {'id': 878, 'name': 'Science Fiction'}]",36685,en,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky'.",8.699428,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Michael White Productions', 'id': 463}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1975-08-14,112892319.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Different Set Of Jaws.,The Rocky Horror Picture Show,7.4,703.0,1975,94.0769325,281644.0,Rocky Horror Collection,"Comedy, Horror, Music, Science Fiction",Twentieth Century Fox Film Corporation,United Kingdom,English
195000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",38356,en,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",4.503505,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Indochina Productions', 'id': 19751}, {'name': 'Hasbro Studios', 'id': 22826}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-06-28,1123746996.0,154.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3351.0,2011,5.762805107692308,8650.0,Transformers Collection,"Action, Science Fiction, Adventure",Paramount Pictures,United States of America,English
9000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",4978,en,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",11.928545,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-11-21,84542002.0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Meet Fievel. In his search to find his family, he discovered America.",An American Tail,6.6,344.0,1986,9.393555777777777,8783.0,Fievel Collection,"Drama, Family, Animation, Adventure",Universal Pictures,United States of America,English
